9,Europe strives to keep Iran deal alive,bbc-news,Intense diplomatic efforts are under way after the US dumped the nuclear deal on Wednesday.,ObjectId(5af6645d094e7135040fae94),,,,
4,All the companies that hired Michael Cohen have an Enron problem,business-insider,"OPINION: There's a difference between what's right on paper and what's right in practice, but that went out the window with all the companies ??"" AT&T, Novartis,",ObjectId(5af6647a094e7135040fae9e),,,,
2,22 Dog Tweets You Need To See Right Now,buzzfeed,This is the good stuff.,ObjectId(5af6647b094e7135040faea1),,,,
2,"20 Moms Who Are Sooooo Peak Mom It, Like, Kinda Hurts",buzzfeed,"""Is... is that your mom drinking wine in a Marshall's?!?!?""",ObjectId(5af6647c094e7135040faea4),,,,
2,24 Splurge-Worthy Beauty Products That Truly Live Up To All The Hype,buzzfeed,"It's time to treat yourself because ~you're doing amazing, sweetie.~",ObjectId(5af6647e094e7135040faea7),,,,
2,Nasty Gal???s New Collection Is Perfection (And It's On Sale RIGHT NOW),buzzfeed,Don???t miss out on up to 80% off Nasty Gal???s new Studio Occasion Collection.,ObjectId(5af6647f094e7135040faeaa),,,,
8,"Trump's drug plan isn't as tough as his talk??""but the real risk could come later",cnbc,"President Donald Trump unveiled his blueprint to lower drug prices, called ""American Patients First,"" in a highly anticipated speech on Friday. However, his actions weren't as biting as his words suggested.",ObjectId(5af66480094e7135040faead),,,,
3,Goldman Sachs banker waves goodbye to Wall Street???s security in search of crypto riches,cnbc,"Two days after Chris Matta earned a prized promotion at storied investment bank Goldman Sachs, he shocked his bosses. He decided to walk away from it all.",ObjectId(5af66481094e7135040faeb0),,,,
5,Kelly says Trump 'somewhat embarrassed' by Russia probe,cnn,"President Donald Trump is ""somewhat embarrassed"" by special counsel Robert Mueller's investigation into Russian meddling in the 2016 election, White House chief of staff John Kelly says.",ObjectId(5af66482094e7135040faeb3),,,,
2,"Black Panther - ""T'Challa Remembers His Father"" Deleted Scene - IGN Video",ign,"The Marvel blockbuster is on Digital HD and 4K Ultra HD and Movies Anywhere on May 8 and on 4K Ultra HD, Blu-ray, DVD and On-Demand on May 15.",ObjectId(5af66483094e7135040faeb6),,,,
2,Update: Bethesda Continues Teasing Possible Rage 2 - IGN,ign,"Information about Bethesda's possible Rage sequel may soon be on the way, if a new tease is to be believed.",ObjectId(5af66484094e7135040faeba),,,,
7,The Best Universal Remotes - IGN,ign,It's time to clear up some space on your coffee table. Here are our picks for the best universal remotes.,ObjectId(5af66485094e7135040faebd),,,,
9,7 Are Killed in Australia???s Worst Mass Shooting Since 1996,the-new-york-times,"Australia???s strict gun control laws, enacted after a massacre in 1996, are often cited as an example of how legislation can limit mass shooting deaths.",ObjectId(5af66486094e7135040faec0),,,,
9,"Philippine Chief Justice, a Harsh Critic of Duterte, Is Ousted",the-new-york-times,"Chief Justice Maria Lourdes Sereno questioned the president???s drug war ???watch list??ù and martial law. After he called her an ???enemy,??ù she is out.",ObjectId(5af66487094e7135040faec3),,,,
3,Uber Stumbles in Lengthy CFO Search Ahead of IPO,the-wall-street-journal,"Uber Technologies Inc. chief Dara Khosrowshahi is under pressure from the board and investors to find a new finance chief after its leading candidate backed out, adding to the challenges of preparing for an IPO next year.",ObjectId(5af66488094e7135040faec6),,,,
